id	en	en_US	ja	es	fr	it	de	pl
"Sonic & Shahra's lines must end in ""_so"" & ""_sh"" respectively."	Localization from the original retail game.	Windii's Japanese-accurate translation.						Polish translation
								
								
secret_rings_title	Sonic and the Secret Rings		ソニックと秘密のリング					Sonic and the Secret Rings
								
system								
								
shader_cache_load	Loading Shader Cache							Wczytywanie pamięci podręcznej shaderów
shader_cache_finished	Finished Loading Shader Cache							Ukończono wczytywanie pamięci podręcznej shaderów
								
								
sys_select	Select							Wybierz
sys_cancel	Cancel							Anuluj
sys_retry	Retry							Spróbuj ponownie
sys_next	Next							Dalej
sys_return	Return							Powrót
sys_quit	Quit							Wyjdź
sys_quit_description	Quit the Game?							Wyjść z gry?
								
sys_pause	Pause		ポーズ					Pauza
sys_pause_continue	Continue		コンティニュー					Kontynuuj
sys_pause_restart	Restart		リスタート					Zrestartuj
sys_pause_status	Status		ステータス					Status
sys_pause_quit	Quit		やめる					Wyjdź
								
sys_world_locked	You cannot select this world yet.							Nie możesz jeszcze wybrać tego świata.
sys_mode_locked	Locked.							Zablokowane.
sys_mode_adventure	Take on the quest to save the\nfading world of the Arabian Nights!							Podejmij się wyprawy na ratunek zanikającego\nświata Baśni Tysiąca i Jednej Nocy!
sys_mode_party	Play with up to 4 of your friends\nin this full-scale minigame mode!							Zabaw się z (maksymalnie) czwórką znajomych\nw tym dopieszczonym trybie minigier!
sys_mode_book	You can view the pages\nyou've collected here.							Możesz tu poprzeglądaj\nwcześniej zdobyte strony.
sys_mode_option	Change the game's settings.							Zmień ustawienia gry.
								
sys_save_select	Please select the file\nyou would like to play.							Wybierz zapis, na ktorym chcesz grać.
								
								
								
sys_options	Options							Ustawienia
option_mute	MUTE							WYCISZ
option_enable	ENABLED							WŁĄCZONO
option_disable	DISABLED							WYŁĄCZONO
option_high	HIGH							WYSOKA
option_medium	MEDIUM							ŚREDNIA
option_low	LOW							NISKA
option_hard_shadows	Hard Shadows							Twarde Cienie
								
option_video	Video							Video
option_audio	Audio							Audio
option_lang	Language							Język
